3093_12_YEARS_A_SLAVE_00.02.04.008-00.02.13.300	00.02.04.008	00.02.13.300	00.02.04.008	00.02.13.300
3093_12_YEARS_A_SLAVE_00.02.13.400-00.02.14.855	00.02.13.400	00.02.14.855	00.02.13.128	00.02.15.128
3093_12_YEARS_A_SLAVE_00.02.14.955-00.02.17.903	00.02.14.955	00.02.17.903	00.02.14.955	00.02.17.903
3093_12_YEARS_A_SLAVE_00.02.18.242-00.02.19.654	00.02.18.242	00.02.19.654	00.02.17.948	00.02.19.948
3093_12_YEARS_A_SLAVE_00.02.20.698-00.02.24.617	00.02.20.698	00.02.24.617	00.02.20.698	00.02.24.617
3093_12_YEARS_A_SLAVE_00.02.24.717-00.02.28.941	00.02.24.717	00.02.28.941	00.02.24.717	00.02.28.941
3093_12_YEARS_A_SLAVE_00.02.29.579-00.02.37.933	00.02.29.579	00.02.37.933	00.02.29.579	00.02.37.933
3093_12_YEARS_A_SLAVE_00.02.38.033-00.02.42.237	00.02.38.033	00.02.42.237	00.02.38.033	00.02.42.237
3093_12_YEARS_A_SLAVE_00.02.42.337-00.02.50.375	00.02.42.337	00.02.50.375	00.02.42.337	00.02.50.375
3093_12_YEARS_A_SLAVE_00.02.50.516-00.02.54.904	00.02.50.516	00.02.54.904	00.02.50.516	00.02.54.904
3093_12_YEARS_A_SLAVE_00.02.55.004-00.02.59.748	00.02.55.004	00.02.59.748	00.02.55.004	00.02.59.748
3093_12_YEARS_A_SLAVE_00.03.00.820-00.03.03.279	00.03.00.820	00.03.03.279	00.03.00.820	00.03.03.279
3093_12_YEARS_A_SLAVE_00.03.03.379-00.03.07.863	00.03.03.379	00.03.07.863	00.03.03.379	00.03.07.863
3093_12_YEARS_A_SLAVE_00.03.08.696-00.03.18.026	00.03.08.696	00.03.18.026	00.03.08.696	00.03.18.026
3093_12_YEARS_A_SLAVE_00.03.18.126-00.03.30.348	00.03.18.126	00.03.30.348	00.03.18.126	00.03.30.348
3093_12_YEARS_A_SLAVE_00.03.30.448-00.03.35.611	00.03.30.448	00.03.35.611	00.03.30.448	00.03.35.611
3093_12_YEARS_A_SLAVE_00.03.35.711-00.03.43.093	00.03.35.711	00.03.43.093	00.03.35.711	00.03.43.093
3093_12_YEARS_A_SLAVE_00.03.43.193-00.03.49.995	00.03.43.193	00.03.49.995	00.03.43.193	00.03.49.995
3093_12_YEARS_A_SLAVE_00.03.50.095-00.03.56.042	00.03.50.095	00.03.56.042	00.03.50.095	00.03.56.042
3093_12_YEARS_A_SLAVE_00.03.56.142-00.04.05.483	00.03.56.142	00.04.05.483	00.03.56.142	00.04.05.483
3093_12_YEARS_A_SLAVE_00.04.05.583-00.04.10.433	00.04.05.583	00.04.10.433	00.04.05.583	00.04.10.433
3093_12_YEARS_A_SLAVE_00.04.10.533-00.04.19.013	00.04.10.533	00.04.19.013	00.04.10.533	00.04.19.013
3093_12_YEARS_A_SLAVE_00.04.19.113-00.04.31.311	00.04.19.113	00.04.31.311	00.04.19.113	00.04.31.311
3093_12_YEARS_A_SLAVE_00.04.31.411-00.04.33.483	00.04.31.411	00.04.33.483	00.04.31.411	00.04.33.483
3093_12_YEARS_A_SLAVE_00.04.33.583-00.04.37.806	00.04.33.583	00.04.37.806	00.04.33.583	00.04.37.806
3093_12_YEARS_A_SLAVE_00.04.40.857-00.04.46.521	00.04.40.857	00.04.46.521	00.04.40.857	00.04.46.521
3093_12_YEARS_A_SLAVE_00.04.46.621-00.04.58.062	00.04.46.621	00.04.58.062	00.04.46.621	00.04.58.062
3093_12_YEARS_A_SLAVE_00.04.58.162-00.05.00.852	00.04.58.162	00.05.00.852	00.04.58.162	00.05.00.852
3093_12_YEARS_A_SLAVE_00.05.00.952-00.05.12.509	00.05.00.952	00.05.12.509	00.05.00.952	00.05.12.509
3093_12_YEARS_A_SLAVE_00.05.12.609-00.05.20.853	00.05.12.609	00.05.20.853	00.05.12.609	00.05.20.853
3093_12_YEARS_A_SLAVE_00.05.20.953-00.05.24.356	00.05.20.953	00.05.24.356	00.05.20.953	00.05.24.356
3093_12_YEARS_A_SLAVE_00.05.27.893-00.05.38.274	00.05.27.893	00.05.38.274	00.05.27.893	00.05.38.274
3093_12_YEARS_A_SLAVE_00.05.38.374-00.05.39.686	00.05.38.374	00.05.39.686	00.05.38.030	00.05.40.030
3093_12_YEARS_A_SLAVE_00.05.39.710-00.05.50.300	00.05.39.710	00.05.50.300	00.05.39.710	00.05.50.300
3093_12_YEARS_A_SLAVE_00.05.50.400-00.05.54.569	00.05.50.400	00.05.54.569	00.05.50.400	00.05.54.569
3093_12_YEARS_A_SLAVE_00.05.54.669-00.05.56.256	00.05.54.669	00.05.56.256	00.05.54.463	00.05.56.463
3093_12_YEARS_A_SLAVE_00.05.56.356-00.06.00.712	00.05.56.356	00.06.00.712	00.05.56.356	00.06.00.712
3093_12_YEARS_A_SLAVE_00.06.06.338-00.06.23.826	00.06.06.338	00.06.23.826	00.06.06.338	00.06.23.826
3093_12_YEARS_A_SLAVE_00.07.18.220-00.07.25.091	00.07.18.220	00.07.25.091	00.07.18.220	00.07.25.091
3093_12_YEARS_A_SLAVE_00.07.29.648-00.07.31.751	00.07.29.648	00.07.31.751	00.07.29.648	00.07.31.751
3093_12_YEARS_A_SLAVE_00.07.29.800-00.07.32.950	00.07.29.800	00.07.32.950	00.07.29.800	00.07.32.950
3093_12_YEARS_A_SLAVE_00.07.33.050-00.07.40.536	00.07.33.050	00.07.40.536	00.07.33.050	00.07.40.536
3093_12_YEARS_A_SLAVE_00.07.40.636-00.07.43.221	00.07.40.636	00.07.43.221	00.07.40.636	00.07.43.221
3093_12_YEARS_A_SLAVE_00.07.46.277-00.08.09.592	00.07.46.277	00.08.09.592	00.07.46.277	00.08.09.592
3093_12_YEARS_A_SLAVE_00.08.09.692-00.08.13.972	00.08.09.692	00.08.13.972	00.08.09.692	00.08.13.972
3093_12_YEARS_A_SLAVE_00.08.14.072-00.08.17.839	00.08.14.072	00.08.17.839	00.08.14.072	00.08.17.839
3093_12_YEARS_A_SLAVE_00.08.18.352-00.08.21.800	00.08.18.352	00.08.21.800	00.08.18.352	00.08.21.800
3093_12_YEARS_A_SLAVE_00.08.21.900-00.08.23.843	00.08.21.900	00.08.23.843	00.08.21.872	00.08.23.872
3093_12_YEARS_A_SLAVE_00.08.25.574-00.08.30.034	00.08.25.574	00.08.30.034	00.08.25.574	00.08.30.034
3093_12_YEARS_A_SLAVE_00.08.30.572-00.08.36.796	00.08.30.572	00.08.36.796	00.08.30.572	00.08.36.796
3093_12_YEARS_A_SLAVE_00.08.38.017-00.08.40.690	00.08.38.017	00.08.40.690	00.08.38.017	00.08.40.690
3093_12_YEARS_A_SLAVE_00.08.40.890-00.08.47.334	00.08.40.890	00.08.47.334	00.08.40.890	00.08.47.334
3093_12_YEARS_A_SLAVE_00.09.17.941-00.09.47.458	00.09.17.941	00.09.47.458	00.09.17.941	00.09.47.458
3093_12_YEARS_A_SLAVE_00.10.11.287-00.10.15.340	00.10.11.287	00.10.15.340	00.10.11.287	00.10.15.340
3093_12_YEARS_A_SLAVE_00.10.15.440-00.10.23.231	00.10.15.440	00.10.23.231	00.10.15.440	00.10.23.231
3093_12_YEARS_A_SLAVE_00.10.39.934-00.10.44.619	00.10.39.934	00.10.44.619	00.10.39.934	00.10.44.619
3093_12_YEARS_A_SLAVE_00.10.45.285-00.10.48.046	00.10.45.285	00.10.48.046	00.10.45.285	00.10.48.046
3093_12_YEARS_A_SLAVE_00.10.59.940-00.11.08.818	00.10.59.940	00.11.08.818	00.10.59.940	00.11.08.818
3093_12_YEARS_A_SLAVE_00.11.08.918-00.11.11.163	00.11.08.918	00.11.11.163	00.11.08.918	00.11.11.163
3093_12_YEARS_A_SLAVE_00.11.12.657-00.11.16.960	00.11.12.657	00.11.16.960	00.11.12.657	00.11.16.960
3093_12_YEARS_A_SLAVE_00.11.17.060-00.11.28.496	00.11.17.060	00.11.28.496	00.11.17.060	00.11.28.496
3093_12_YEARS_A_SLAVE_00.11.28.596-00.11.32.526	00.11.28.596	00.11.32.526	00.11.28.596	00.11.32.526
3093_12_YEARS_A_SLAVE_00.11.32.626-00.11.38.886	00.11.32.626	00.11.38.886	00.11.32.626	00.11.38.886
3093_12_YEARS_A_SLAVE_00.11.38.986-00.11.46.573	00.11.38.986	00.11.46.573	00.11.38.986	00.11.46.573
3093_12_YEARS_A_SLAVE_00.11.46.673-00.11.47.215	00.11.46.673	00.11.47.215	00.11.45.944	00.11.47.944
3093_12_YEARS_A_SLAVE_00.11.47.239-00.11.54.341	00.11.47.239	00.11.54.341	00.11.47.239	00.11.54.341
3093_12_YEARS_A_SLAVE_00.12.32.747-00.12.38.798	00.12.32.747	00.12.38.798	00.12.32.747	00.12.38.798
3093_12_YEARS_A_SLAVE_00.12.43.853-00.12.54.141	00.12.43.853	00.12.54.141	00.12.43.853	00.12.54.141
3093_12_YEARS_A_SLAVE_00.12.54.875-00.12.55.927	00.12.54.875	00.12.55.927	00.12.54.401	00.12.56.401
3093_12_YEARS_A_SLAVE_00.12.56.027-00.13.03.242	00.12.56.027	00.13.03.242	00.12.56.027	00.13.03.242
3093_12_YEARS_A_SLAVE_00.13.35.462-00.13.39.933	00.13.35.462	00.13.39.933	00.13.35.462	00.13.39.933
3093_12_YEARS_A_SLAVE_00.13.40.033-00.13.43.454	00.13.40.033	00.13.43.454	00.13.40.033	00.13.43.454
3093_12_YEARS_A_SLAVE_00.13.50.770-00.13.54.483	00.13.50.770	00.13.54.483	00.13.50.770	00.13.54.483
3093_12_YEARS_A_SLAVE_00.13.55.135-00.14.13.265	00.13.55.135	00.14.13.265	00.13.55.135	00.14.13.265
3093_12_YEARS_A_SLAVE_00.14.13.289-00.14.17.730	00.14.13.289	00.14.17.730	00.14.13.289	00.14.17.730
3093_12_YEARS_A_SLAVE_00.14.17.830-00.14.23.932	00.14.17.830	00.14.23.932	00.14.17.830	00.14.23.932
3093_12_YEARS_A_SLAVE_00.14.25.932-00.14.28.182	00.14.25.932	00.14.28.182	00.14.25.932	00.14.28.182
3093_12_YEARS_A_SLAVE_00.14.31.998-00.14.47.075	00.14.31.998	00.14.47.075	00.14.31.998	00.14.47.075
3093_12_YEARS_A_SLAVE_00.14.47.175-00.14.53.059	00.14.47.175	00.14.53.059	00.14.47.175	00.14.53.059
3093_12_YEARS_A_SLAVE_00.14.56.586-00.15.05.863	00.14.56.586	00.15.05.863	00.14.56.586	00.15.05.863
3093_12_YEARS_A_SLAVE_00.15.05.963-00.15.27.607	00.15.05.963	00.15.27.607	00.15.05.963	00.15.27.607
3093_12_YEARS_A_SLAVE_00.15.27.707-00.15.30.707	00.15.27.707	00.15.30.707	00.15.27.707	00.15.30.707
3093_12_YEARS_A_SLAVE_00.15.31.107-00.15.34.593	00.15.31.107	00.15.34.593	00.15.31.107	00.15.34.593
3093_12_YEARS_A_SLAVE_00.15.35.017-00.15.40.414	00.15.35.017	00.15.40.414	00.15.35.017	00.15.40.414
3093_12_YEARS_A_SLAVE_00.15.43.668-00.15.50.960	00.15.43.668	00.15.50.960	00.15.43.668	00.15.50.960
3093_12_YEARS_A_SLAVE_00.15.51.060-00.15.58.358	00.15.51.060	00.15.58.358	00.15.51.060	00.15.58.358
3093_12_YEARS_A_SLAVE_00.15.58.458-00.16.03.934	00.15.58.458	00.16.03.934	00.15.58.458	00.16.03.934
3093_12_YEARS_A_SLAVE_00.16.04.034-00.16.11.486	00.16.04.034	00.16.11.486	00.16.04.034	00.16.11.486
